7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
6543:1102,17,616,654,273,1937,736,2030,16384,3163,
6555:654,58,138,8,354,861,273,6,554,361,
6565:27071,22006,37522,8439,1883,80053,60951,47823,46041,29737,
6568:27094,5627,17,302,654,76,616,58,8,866,
6569:17,302,654,76,616,58,8,866,84,29,
6587:8964,6511,5343,19233,21929,30301,3067,151,1822,50153,
6593:17,273,542,59691,356,394,48210,2618,239,2312,
6594:111248,17,17,302,654,76,616,58,8,866,
6597:17,302,654,76,616,58,8,866,84,29,
6600:17,302,654,76,616,58,8,866,84,29,
6601:5465,254,361,866,7194,13420,13293,33748,84610,2600,
6602:30436,4656,42598,35715,50141,533,5692,2492,7364,20390,
6603:8860,297,17527,12332,12734,8167,37042,866,7585,3819,
6641:1057,58194,1389,236,3839,616,76,70,62,596,
6642:13683,9099,8445,81112,65522,61524,518,39419,353,32709,
6655:17,302,654,76,616,58,8,866,84,29,
6658:17,302,654,76,616,58,8,866,84,29,
6671:25960,39897,32970,1830,38470,9354,18879,63088,6379,7011,
6676:1550,27705,37486,2557,58,616,937,17,302,654,
6682:84,138,866,58,59285,4536,837,675,26582,26452,
6694:6432,26085,36868,36887,88297,89916,90937,27741,31969,4386,
6698:17,302,654,76,616,58,8,866,84,29,
6723:13534,73149,28755,29783,4119,46771,7235,17,302,654,
6724:27197,46213,97156,226,38258,17,302,654,76,616,
6725:17,302,654,76,616,58,8,866,84,29,
6728:76,2031,138,96,9303,79653,7667,51836,500,4169,
6735:1102,866,17,354,84,224,361,4114,22091,70,
6736:4203,10075,12253,6673,19536,8442,8197,2708,313,14750,
6737:17,302,654,76,616,58,8,866,84,29,
6749:9983,9531,74498,7404,698,6339,6310,4672,46632,4394,
6755:2765,113535,29342,51243,17,302,654,76,616,58,
6773:947,1119,224,93412,6397,27134,1788,1023,106052,8,
6792:17,302,12684,11154,1245,518,8,11579,1762,2570,
6793:1102,29,115235,138,1937,749,75402,654,89048,866,
6843:3039,48882,1991,449,302,9594,84,1508,2328,2668,
6851:2880,12990,16900,840,8069,54599,58071,66146,66191,17647,
6881:21970,47043,78050,6491,91518,17,302,654,76,616,
6883:138,82080,17,302,654,76,616,58,8,866,
6886:84,1102,947,224,675,11154,58,33180,899,873,
6889:17,302,654,76,616,58,8,866,84,29,
6894:112582,5152,6922,17,302,654,76,616,58,8,
6895:866,83781,385,38510,3928,44031,5363,54446,546,564,
6898:1344,2414,10039,1069,1730,112551,17,302,654,76,
6903:358,17,1913,500,650,17,302,654,76,616,
6932:14084,224,17,302,654,76,616,58,8,866,
6933:17,83021,358,44030,70,5398,15337,3389,35136,40055,
6935:40281,56570,60549,104512,111979,113270,114998,17520,25523,36213,
6939:542,1451,302,17,866,84,227,23000,7282,3014,
6948:1007,102171,3514,4589,56195,6302,769,100224,14610,31819,
6950:17,302,654,76,616,58,8,866,84,29,
6958:113365,16676,17,2528,302,4326,650,70,8,866,
6960:37914,60150,17,302,654,76,616,58,8,866,
6966:3770,25398,8258,81362,38716,2303,103304,42150,107013,3514,
6977:37566,3432,37882,3897,402,431,473,483,486,5715,
6982:73805,17,302,654,76,616,58,8,866,84,
6983:17,302,654,76,616,58,8,866,84,29,
6984:57053,69814,56715,65101,65037,64508,63505,61451,6015,5990,
6992:1827,2714,2403,3207,970,17,302,654,76,616,
7005:14942,15,16347,1796,385,5057,70100,76,892,17,
7019:1681,17,788,17,302,654,76,616,58,8,
7027:17,302,654,76,616,58,8,866,84,29,
7034:26483,92295,65480,68818,18543,45615,27931,4717,58650,6760,
7035:7411,2566,49084,10898,3163,9572,5746,2275,107027,1866,
7036:182,82080,17,302,654,76,616,58,8,866,
7044:8579,8151,94,93468,88493,65497,59958,5287,5117,472,
7053:27241,168,96157,91887,79591,25165,37482,40996,59197,41982,
7059:6256,984,109940,58298,661,1069,1326,1740,2318,25073,
7069:17,302,654,76,616,58,8,866,84,29,
7077:31168,32107,43857,58530,62125,64725,77790,17,302,654,
7096:17,302,654,76,616,58,8,866,84,29,
7112:75057,2449,120102,1382,107052,71443,81729,102248,103280,107310,
7116:116,17,2526,353,10175,11855,17,302,654,76,
7118:58,226,654,76,568,3065,1357,1349,4834,5315,
7133:84,866,57496,58,86717,736,28090,28484,2939,70,
7137:8563,7082,4943,26165,23213,70580,15202,52245,39684,34038,
7140:17,302,654,76,616,58,8,866,84,29,
7159:654,302,7917,6011,554,54671,37085,3599,101,226,
7173:18525,7841,1119,17,654,58,1187,285,119,1389,
7178:9974,63619,62842,6057,363,33580,322,31647,302,2683,
7183:17,866,650,94,749,1462,289,301,358,361,
7184:17,302,654,76,616,58,8,866,84,29,
7188:17,302,654,76,616,58,8,866,84,29,
7192:58,873,398,2369,193,10127,10610,1550,1822,1709,
7196:17,302,654,76,616,58,8,866,84,29,
7203:110256,121170,14287,15506,28670,29081,35586,38238,39399,55379,
7214:54886,29389,60127,4487,18253,46287,1985,380,66790,7707,
7224:23656,2494,26062,26895,2769,29092,31375,3274,37739,40077,
7225:18087,105578,21514,52049,557,63391,66575,82752,17,302,
7230:17,302,654,76,616,58,8,866,84,29,
7232:17,302,654,76,616,58,8,866,84,29,
7239:106304,11718,27448,33231,654,9462,17,354,17,302,
7242:5611,19029,44935,76460,17,302,654,76,616,58,
7254:103841,58624,46436,47466,53330,54894,54949,57258,65099,68725,
7268:17,616,11501,1693,1866,322,40054,554,58839,59042,
7291:102138,21411,64815,4919,6678,301,16465,16669,8928,336,
7294:1187,899,17,29026,48,70363,57718,14108,1624,1957,
7299:10163,119,963,81,736,398,99172,87603,65,62375,
7303:83785,41588,22110,74118,46289,41595,27309,25113,21679,20186,
7326:60158,17,302,654,76,616,58,8,866,84,
7340:15238,11579,5670,56166,1730,3568,4743,5097,10039,70959,
7346:2414,96947,30715,3142,18409,7623,352,3081,32050,40,
7348:116414,33540,56739,12607,58,28505,29,62602,654,7942,
7351:17,302,654,76,616,58,8,866,84,29,
7356:17,302,654,76,616,58,8,866,84,29,
7366:1102,1762,1937,118903,67831,17,302,654,76,616,
7367:986,69067,76,48433,39204,358,33388,6303,72499,28950,
7383:20327,67253,5187,692,103355,899,19886,354,28994,17,
7397:36773,105907,111777,16092,2512,34526,407,58459,60,654,
7410:11772,81,84403,17,302,654,76,616,58,8,
7414:107206,162,19687,19877,301,37780,6278,775,17,302,
7419:226,2582,3055,35229,7623,17,302,654,76,616,
7429:17,302,654,76,616,58,8,866,84,29,
7433:138,76,17,302,654,76,616,58,8,866,
7444:98591,103202,70818,5512,27085,26945,119,15981,96081,9039,
7451:69,1917,38690,1617,17944,12597,93408,48197,88234,43327,
7461:17,302,654,76,616,58,8,866,84,29,
7466:2268,1951,4816,29854,86489,65,5575,4487,1703,104922,
7467:1313,372,380,1089,12408,219,17,302,654,76,
7488:302,116,84,518,1324,1384,224,866,60405,2205,
7489:7612,50463,68947,24032,98736,85656,83977,39860,41064,77905,
7517:3378,11408,10178,186,22713,45641,40356,7478,64973,58738,
7518:908,2950,97541,93643,84560,33884,66525,35644,47023,43607,
7519:1187,48,70,875,17,302,654,76,616,58,
7527:20300,17,302,654,76,616,58,8,866,84,
7542:17,302,654,76,616,58,8,866,84,29,
7555:72027,90038,13716,17692,13312,6165,2549,2600,93182,827,
7556:67880,901,47738,48210,25740,103730,40,17056,698,23050,
7558:14226,752,76,984,9874,25464,52321,60709,96229,17,
7563:84,866,58,1693,4996,8,138,1462,354,675,
7572:14593,719,984,7298,4394,66755,5738,12722,1752,9326,
7586:986,984,9783,9116,801,760,76,7585,719,58272,
7590:44144,78361,542,402,358,31377,289,1653,14434,1403,
7603:116,239,302,591,17974,294,616,62,709,17,
7605:736,17,302,654,76,616,58,8,866,84,
7607:13511,44115,107603,30188,964,905,3423,542,7132,899,
7608:354,302,138,654,675,866,301,650,1109,2193,
7612:17,33352,35211,38158,3951,17,302,654,76,616,
7617:1119,17,2641,37236,46650,654,755,17,302,654,
7637:24586,23011,3190,15561,7676,374,1444,51032,8272,215,
7657:102808,10880,44877,17,302,654,76,616,58,8,
7661:27910,17,302,654,76,616,58,8,866,84,
7678:3107,23191,6434,1352,8848,24581,6601,1206,5624,4825,
7682:7836,47276,289,1012,1462,302,8,2200,327,2618,
7692:27293,3657,2266,5954,56243,24259,75427,30860,68004,62386,
7699:17,302,654,76,616,58,8,866,84,29,
7707:29,866,616,650,361,70,1089,2500,787,1709,
7708:1335,311,1539,6328,21624,6788,53537,87846,52721,4966,
7713:736,14951,347,3902,52749,698,9584,1001,1102,65,
7734:89664,61,1239,16553,17,696,542,1140,70,27500,
7741:17,302,2687,5715,736,944,10859,398,70,73635,
7742:4174,7270,11881,13458,1313,6513,3628,3,65615,21560,
7743:986,15201,24657,23283,96779,967,89017,79217,7353,65,
7751:1187,48,654,866,182,4420,84,82046,77456,40517,
7760:68700,72988,15931,38546,21903,64593,71353,74385,84927,36108,
7766:17,302,654,76,616,58,8,866,84,29,
7787:12776,83431,111222,13147,962,953,8587,755,63340,3862,
7813:409,73745,85591,96917,40841,699,21304,26478,42958,57624,
7818:94605,17,21163,25719,73074,616,138,3148,5928,398,
7823:10041,13896,1501,1527,3107,4755,8621,96205,17,302,
7825:17,302,654,76,616,58,8,866,84,29,
7833:17,302,654,76,616,58,8,866,84,29,
7841:226,354,5218,7210,899,27511,30993,3522,8579,302,
7844:17,302,654,76,616,58,8,866,84,29,
7850:17,302,654,76,616,58,8,866,84,29,
7863:17,302,654,76,616,58,8,866,84,29,
7869:22646,25398,103304,2303,81362,38716,8258,42150,53416,4589,
7888:743,568,53420,19689,21476,3527,917,17,51780,40422,
7889:7258,87513,17,302,654,76,616,58,8,866,
7894:2822,50605,17,302,654,76,616,58,8,866,
7903:2048,5145,1760,3288,40116,44475,21840,67579,1526,7556,
7915:302,29,17,94,616,736,354,289,358,84,
7921:17,302,654,76,616,58,8,866,84,29,
7945:10291,662,17,302,654,76,616,58,8,866,
7946:17,302,654,76,616,58,8,866,84,29,
7949:8151,1119,17,3292,3839,4499,236,58194,57718,14108,
7951:29,58,30,84,301,3223,1937,20760,8,73,
7958:17,302,654,76,616,58,8,866,84,29,
7962:29,650,866,361,289,8,224,61,226,358,
7964:17,302,654,76,616,58,8,866,84,29,
7967:25876,17,302,654,76,616,58,8,866,84,
7969:17,962,17,302,654,76,616,58,8,866,
7975:34149,17,302,654,76,616,58,8,866,84,
7976:42330,2582,8079,755,236,6613,1606,327,119,46942,
7977:866,10039,986,1164,17,302,654,76,616,58,
7981:3378,45315,39446,32261,65033,22713,68179,186,10611,68239,
7990:115793,1435,30158,47789,17,302,654,76,616,58,
8002:12812,2738,29282,36726,50902,7838,8786,9103,14949,16669,
8008:17,302,654,76,616,58,8,866,84,29,
8009:2776,9246,17,302,654,76,616,58,8,866,
8023:19883,37348,46234,29387,37,2251,470,19615,44183,63947,
8032:1435,43222,50344,17,302,654,76,616,58,8,
8036:399,40319,984,25253,8252,6411,463,66755,1682,44088,
8054:84967,8485,17403,2139,225,698,13039,14181,17,302,
8065:518,568,138,650,70,30,73,289,58,861,
8068:10048,11102,13624,24655,5218,13279,24885,28945,49507,83764,
8069:3207,970,3506,28638,39829,48764,572,57251,69861,17,
8081:354,616,70,899,17,302,654,76,616,58,
8090:354,866,1240,285,84,402,14617,1462,70,3429,
8097:17,302,654,76,616,58,8,866,84,29,
8103:29263,25751,47013,441,80047,48159,3509,65416,4568,19603,
8104:17,302,654,76,616,58,8,866,84,29,
8130:108284,119,63486,73415,17,302,654,76,616,58,
8134:57519,105057,46949,4738,48061,48276,48287,494,50384,51199,
8137:29,361,289,301,58,138,736,1097,8946,1937,
8141:4481,17,302,654,76,616,58,8,866,84,
8144:1790,32408,5242,17,302,654,76,616,58,8,
8150:302,861,518,395,363,554,1126,8,1866,2769,
8159:11817,21870,22613,598,78626,87239,88045,17,302,654,
8161:77681,54240,8357,17,302,654,76,616,58,8,
8163:254,17,302,654,76,616,58,8,866,84,
8184:138,23958,17,302,654,76,616,58,8,866,
8186:866,6062,59223,1937,138,6,65625,29,654,3372,
8200:301,302,542,58,84,17,302,654,76,616,
8206:1305,15459,1598,262,616,17,302,654,76,616,
8217:21794,568,17,302,654,76,616,58,8,866,
8224:84,17,1462,616,73,9077,76,289,654,1348,
8225:774,15235,25783,2824,80643,8536,9217,17,302,654,
8227:302,17,1987,29,591,294,774,5565,356,1267,
8229:14314,24944,302,866,17,302,654,76,616,58,
8245:17,302,654,76,616,58,8,866,84,29,
8263:17,302,654,76,616,58,8,866,84,29,
8264:986,545,96367,9289,68331,16208,73629,29079,7581,32598,
8270:1109,12463,1591,1650,2136,2831,363,39153,46406,48507,
8276:17,1102,84,301,138,1462,866,361,8974,650,
8285:81779,9453,1133,14626,7869,56303,5741,58,5848,591,
8286:17,302,654,76,616,58,8,866,84,29,
8287:39436,23950,24917,14597,68034,6468,545,31789,15264,1758,
8290:10070,122328,15710,20172,63893,16192,78136,100650,107485,120649,
8310:6224,44227,49237,4341,431,60114,120656,108999,74559,39127,
8314:40355,41153,53154,58480,59189,61673,63166,67156,68279,69698,
8325:93329,29185,34537,115677,8,2073,57192,8414,69879,60952,
8326:302,616,116,49584,407,83666,1245,508,749,1558,
8334:13931,17,302,654,76,616,58,8,866,84,
8336:17,302,654,76,616,58,8,866,84,29,
8343:302,1561,273,363,11689,56345,79346,99207,15,16097,
8347:29,79844,62193,56145,1937,138,13302,6,65625,966,
8352:122224,546,477,4843,736,8095,9580,17,302,654,
8368:8,322,1050,236,76,17,2674,76165,146,2976,
8380:752,6097,336,14754,7180,22091,2715,564,297,5738,
8396:302,17,866,354,1102,70,2734,1553,32,780,
8401:1960,1050,12435,2073,13513,24055,363,17,302,654,
8406:106589,44149,116748,12976,33719,34386,1712,4339,4453,7831,
8411:17,302,654,76,616,58,8,866,84,29,
8413:17,409,7800,650,1220,32,1558,162,70,26872,
8435:17,302,654,76,616,58,8,866,84,29,
8449:7457,13757,7857,23191,2694,27138,7831,107332,950,80274,
8450:22957,13266,1686,1711,18803,37804,95512,91192,78763,73853,
8476:29,302,12830,654,17,673,32,1512,285,58,
8477:719,2153,3214,297,20090,236,168,9265,2318,94605,
8491:138,226,70,394,56633,84276,85999,1744,42485,2268,
8499:6733,696,17,302,654,76,616,58,8,866,
8500:4455,60193,8418,29047,50294,31820,33137,114133,120437,25990,
8510:35377,12784,749,147,2326,8151,8042,1595,3973,4487,
8513:9057,30316,947,931,481,4619,72666,77332,899,29587,
8517:57092,25041,29782,88325,42249,45935,48123,4830,50759,508,
8530:17,518,1102,84,654,736,302,58,486,62,
8531:8,302,58,301,564,29,226,76,182,650,
8534:22150,40165,17,302,654,76,616,58,8,866,
8536:17,302,654,76,616,58,8,866,84,29,
8537:8,363,1568,2008,57472,188,22121,285,56189,84319,
8552:17,302,654,76,616,58,8,866,84,29,
8569:1527,4825,10041,7880,1206,8225,7859,1712,12016,1923,
8578:106,4481,14152,504,27752,2816,10466,974,17,92857,
8581:698,18471,27364,76,117815,26945,17,302,654,76,
8582:650,101,285,1102,6,246,14366,917,3751,358,
8600:96735,110950,54075,3588,238,10041,1760,30613,726,116852,
8603:51517,77673,107237,108785,97541,93643,8660,84560,7650,66525,
8635:17,302,654,76,616,58,8,866,84,29,
8636:6901,8783,28389,26437,2857,684,13792,8631,3360,2675,
8637:17,302,654,76,616,58,8,866,84,29,
8644:55436,53644,91326,736,568,4113,407,39212,32866,273,
8651:2162,84,182,654,70,875,17,302,654,76,
8660:17,84,899,383,1196,1239,15,859,650,1567,
8670:81,60302,91004,95754,17072,20327,654,3137,4347,4415,
8681:6303,1305,1196,1703,22207,285,568,690,836,866,
8692:32166,92557,780,7716,653,61651,6108,5860,58498,57259,
8711:17,302,654,76,616,58,8,866,84,29,
8717:3819,9597,81,7585,6593,5767,542,481,394,3429,
8718:2103,4190,8860,34589,1230,6310,2582,1147,9265,463,
8719:361,736,83666,31952,49584,508,518,138,1462,29,
8735:10047,29,654,3244,36292,673,24698,6875,21933,162,
8736:17,302,654,76,616,58,8,866,84,29,
8746:302,361,70,6457,78847,138,58,1245,1578,1866,
8747:2272,8486,85160,8545,103178,226,353,354,59211,17,
8755:86870,27582,27589,17,302,654,76,616,58,8,
8760:1046,38295,88028,116508,51439,58063,17,302,654,76,
8765:17,302,654,76,616,58,8,866,84,29,
8768:39619,18892,5726,33223,48992,19089,31619,89977,56217,4979,
8771:8,17,11154,1245,564,6599,12684,30484,85126,542,
8774:50153,7477,44632,30301,5343,15521,46855,31938,6868,17390,
8782:2888,5557,56759,59167,17121,1460,84949,8940,564,1069,
8788:6,58,301,322,70,6457,354,2073,1444,101,
8789:17,302,654,76,616,58,8,866,84,29,
8790:358,38274,3992,40518,45956,48741,5522,57101,57451,60721,
8802:354,302,9958,301,650,2338,6,65625,861,866,
8810:17,302,654,76,616,58,8,866,84,29,
8812:17,302,654,76,616,58,8,866,84,29,
8822:17,302,654,76,616,58,8,866,84,29,
8825:2500,1709,354,58,787,873,1195,1196,167,40869,
8844:2121,224,182,138,873,49290,4205,17,8191,100449,
8850:33719,34386,16900,27089,38992,6434,17,302,654,76,
8852:17,302,654,76,616,58,8,866,84,29,
8862:17,302,654,76,616,58,8,866,84,29,
8863:302,182,654,354,301,490,1896,19322,197,363,
8868:17,302,654,76,616,58,8,866,84,29,
8870:29,17,354,58,62193,56145,866,3546,17821,2734,
8872:15995,17,3514,377,8694,103326,4444,17,302,654,
8877:32,224,76,17,60899,35248,18960,67503,117430,11053,
8889:1131,17,302,654,76,616,58,8,866,84,
8890:17,302,654,76,616,58,8,866,84,29,
8900:1069,3223,52803,17,302,654,76,616,58,8,
8906:14444,1528,2139,352,375,564,653,6824,7006,1535,
8912:17,35653,117172,19089,17,302,654,76,616,58,
8913:5111,75059,10997,33935,39699,5627,8934,68608,61,5966,
8915:301,17,76,650,58,224,944,564,5582,510,
8916:16619,418,52967,55359,57740,101652,33651,6963,17,302,
8920:81,107954,12296,59381,112323,12923,41813,43024,4854,8511,
8924:119799,13261,14983,15,17,226,441,4421,52637,8928,
8931:354,361,84,2162,302,3329,4326,654,535,5602,
8935:327,6598,73011,76567,2583,826,12408,2021,302,378,
8936:54180,40588,6306,736,89051,17,302,654,76,616,
8958:31872,75294,17,302,654,76,616,58,8,866,
8984:1462,14754,162,25127,29417,297,352,60889,78059,81173,
9000:17,1102,616,962,302,837,1804,1089,105093,3065,
9001:4797,107422,1467,60843,91103,94,8898,769,67860,6417,
9013:41110,103,49608,75483,74844,68189,6033,5991,38044,285,
9024:14187,486,546,17,302,654,76,616,58,8,
9079:118443,17,302,654,76,616,58,8,866,84,
9085:84,29,1102,94,48,2162,4364,466,3166,4697,
9096:2880,7859,30257,6266,27344,80161,1206,21771,5427,24581,
9098:73826,61503,60269,53686,51850,5145,37535,37008,35350,32473,
9106:219,5567,17,302,654,76,616,58,8,866,
9111:62,21902,34632,194,398,236,564,14151,2831,32796,
9122:302,35559,1168,16894,29,327,354,46290,6759,84450,
9128:654,239,58,112800,1149,2265,4354,72974,1913,2512,
9135:3448,299,4203,10075,10682,36595,18017,7795,8861,3354,
9141:80161,3107,1527,1712,931,8804,8069,20806,23191,14685,
9152:654,861,616,736,205,656,23697,2419,2548,2597,
9155:86151,8409,77753,66983,55433,39959,35354,3347,3224,3223,
9157:103806,114198,24088,302,63549,6545,93919,17,302,654,
9158:1127,1359,14571,16955,29491,371,55222,70551,7272,90731,
9159:17,302,654,76,616,58,8,866,84,29,
9160:17,302,654,76,616,58,8,866,84,29,
9161:1013,12733,13567,1867,4103,6097,6117,72,17,302,
9171:1102,19322,490,91031,1913,2265,361,500,17,302,
9173:17,302,654,76,616,58,8,866,84,29,
9200:4621,14671,52378,3787,70182,30734,27781,14628,45041,22719,
9224:1382,18465,100652,899,17,34450,94105,84195,17227,101253,
9225:64018,5512,61775,25188,21314,7681,16348,15981,119,41687,
9233:42657,22776,15373,6383,21795,21029,18708,90613,71671,1930,
9236:81,78365,7755,7006,68535,656,59091,57079,54549,40884,
9237:780,4502,224,81,1578,239,322,58839,1693,28473,
9238:17,302,654,76,616,58,8,866,84,29,
9245:25222,17264,25667,90299,117951,1222,224,29904,34360,6284,
9249:78219,2076,28206,53731,84,14314,8,518,88624,6662,
9256:1102,8,866,1412,14328,27449,2983,350,370,474,
9276:110595,120,30884,53301,57466,17,302,654,76,616,
9288:40271,866,1190,219,5567,8,17,302,654,76,
9290:89459,17,302,654,76,616,58,8,866,84,
9291:8,4802,303,616,122,302,591,947,17090,53707,
9310:17,302,654,76,616,58,8,866,84,29,
9312:1539,302,63490,7374,77506,77764,17,302,654,76,
9313:17,302,654,76,616,58,8,866,84,29,
9331:85508,64240,52132,12964,3146,37294,69121,66541,5545,4875,
9333:95159,8,7334,62433,6210,542,4993,4965,4650,4268,
9350:21163,94605,3148,616,73074,736,17,302,654,76,
9357:80021,83385,9760,20184,7585,986,17,302,654,76,
9359:1193,354,4374,84,1164,254,873,17,302,654,
9364:31120,1645,104142,3065,53629,4280,15522,11205,61980,28157,
9368:9767,29158,199,38319,4702,226,48701,5066,32432,34880,
9369:168,96,95729,94856,85279,81,75554,719,62395,4877,
9371:8151,70363,568,6352,2162,31242,108412,2108,302,52986,
9381:1913,11446,15542,17,302,654,76,616,58,8,
9389:109119,18077,2939,32076,322,39645,45970,6,63225,650,
9394:1190,16869,285,354,542,8,873,17,302,654,
9400:58,17,34452,34507,348,356,38467,3929,409,4162,
9402:17,302,654,76,616,58,8,866,84,29,
9420:17,302,654,76,616,58,8,866,84,29,
9431:17,302,654,76,616,58,8,866,84,29,
9432:17,12684,11579,1762,24423,2570,301,354,4304,53310,
9433:71022,95228,16952,103886,86412,840,109750,65982,4447,43850,
9437:5613,10595,40,3105,564,17,302,654,76,616,
9442:986,3718,50887,5860,6227,1499,17,302,654,76,
9443:486,483,1444,2073,542,563,6007,60307,61802,656,
9451:755,123322,2668,301,1539,736,17,302,654,76,
9473:11482,1435,28416,29335,33851,40825,52866,59924,8484,17,
9474:17,302,654,76,616,58,8,866,84,29,
9486:94987,94680,8213,78501,614,50707,4568,45,40921,38475,
9487:1102,84,654,483,1762,94112,508,501,43028,38203,
9489:2272,729,17,302,654,76,616,58,8,866,
9494:118302,26033,43894,14989,27094,4140,82829,17,302,654,
9498:17,302,654,76,616,58,8,866,84,29,
9499:17,76221,73232,94654,224,650,61764,6943,57272,542,
9500:40,500,17,302,654,76,616,58,8,866,
9507:102405,34571,53415,58254,6446,83691,107412,16756,27318,54537,
9514:19244,1989,23317,36401,45791,63098,85292,9961,17,302,
9525:1119,103143,81,354,11349,2669,2233,91310,17,110676,
9528:353,13136,15592,245,398,675,185,2512,48059,72442,
9531:35368,262,102836,48825,6921,7211,18632,82254,79458,33574,
9535:2512,3054,70,538,10305,72618,14890,56900,4,23051,
9538:17,861,3774,302,596,394,1086,15,1499,58,
9541:4328,4422,4487,46570,48,518,521,52271,53744,55676,
9553:16056,546,7240,1205,111574,873,2254,108638,2579,3901,
9568:103483,118070,95299,70489,67798,35658,33684,311,24181,20142,
9570:39966,6439,17,302,654,76,616,58,8,866,
9571:55431,17,302,654,76,616,58,8,866,84,
9573:10048,13555,14890,18213,3232,35283,40,7429,786,9323,
9576:17,302,654,76,616,58,8,866,84,29,
9580:4072,5998,902,17,302,654,76,616,58,8,
9590:17,302,58,354,518,301,138,902,29,65,
9593:301,5169,194,654,6708,17,302,654,76,616,
9606:5740,6857,109834,13660,17,302,654,76,616,58,
9612:1102,4025,42701,4324,4497,4542,4685,47069,4833,4886,
9613:17,302,654,76,616,58,8,866,84,29,
9614:518,5084,5010,495,4904,490,483,4765,4542,45,
9630:76,111240,119215,63467,1050,10752,11019,661,113018,398,
9665:16604,17,32085,5182,1097,29,4502,518,6,8,
9666:11644,398,110603,8959,73971,6507,64732,6113,60218,552,
9668:17,302,654,76,616,58,8,866,84,29,
9680:17,302,654,76,616,58,8,866,84,29,
9685:7869,108597,1100,119388,21220,70,76,14626,17,29713,
9693:17,302,654,76,616,58,8,866,84,29,
9694:2848,5363,698,17,302,654,76,616,58,8,
9696:26767,31496,17,302,654,76,616,58,8,866,
9711:6720,6432,36868,88297,36887,97047,9003,86488,84537,80668,
9722:4060,13049,1752,17,302,654,76,616,58,8,
9727:58835,39860,50463,49652,77905,68947,67350,83977,46178,41064,
9742:17,302,654,76,616,58,8,866,84,29,
9745:654,84,17,58,861,591,554,1937,4502,518,
9752:2139,8621,65,19102,11834,54564,119,32914,2717,18016,
9753:4420,17,736,1195,6945,62,42909,356,35179,108056,
9755:17,302,654,76,616,58,8,866,84,29,
9757:59623,48361,23599,75402,12218,45133,3966,42,45321,64665,
9786:654,70,361,650,17,302,654,76,616,58,
9808:19428,3081,33857,596,73951,533,7822,14709,17,3409,
9810:23398,1122,1406,33683,33720,9448,113607,106861,108475,116563,
9812:131,1539,302,41466,59453,736,17,302,654,76,
9813:33619,55244,67068,9212,97068,17,302,654,76,616,
9818:17,302,654,76,616,58,8,866,84,29,
9820:4268,2030,12061,2140,4364,19883,3086,39142,4103,42414,
9824:1002,81861,5101,9055,42017,38225,38131,371,3618,21246,
9827:1187,17,27941,899,17,302,654,76,616,58,
9831:60765,5953,9783,17,302,654,76,616,58,8,
9834:102890,106043,17,3039,34011,63151,892,17,302,654,
9837:11842,17,616,654,17,302,654,76,616,58,
9839:17,302,654,76,616,58,8,866,84,29,
9840:10365,4487,62044,673,13178,226,94,7312,71315,4268,
9864:17,302,654,76,616,58,8,866,84,29,
9879:1945,2097,26405,42086,98624,983,94368,76686,50041,19557,
9890:302,736,1587,17843,322,3429,3448,363,454,4724,
9891:654,354,301,29,65625,6,10141,8974,70,285,
9892:12165,1784,45541,7418,103,11732,2342,564,7153,1109,
9896:1827,8536,2824,584,9822,7817,9217,15235,80643,25783,
9899:866,10039,986,1164,17,302,654,76,616,58,
9900:1348,486,542,17,302,654,76,616,58,8,
9911:17,2582,29555,24425,7608,37591,32604,4374,18414,13789,
9926:917,15583,48350,58,62,70,1832,33959,76,17,
9927:138,1102,650,564,736,356,518,61,73,2030,
9929:13990,52705,63811,1069,1539,43419,46726,60241,899,17,
9944:56364,49920,83954,1164,4462,44984,113412,21718,2547,48271,
9945:12808,899,866,84,7422,7418,7334,66643,6049,393,
9946:17,302,654,76,616,58,8,866,84,29,
9961:119109,18536,2178,22632,63691,17,302,654,76,616,
9984:29024,45073,46837,74617,96683,112549,361,42520,17,302,
10030:965,103060,928,81,6916,18741,67248,5819,5552,31435,
10040:168,34589,17,302,654,76,616,58,8,866,
10050:61315,63787,675,70637,17,302,654,76,616,58,
10051:409,35144,56594,40465,8682,17,422,4257,5562,2373,
10073:10012,2935,1140,7578,52,30427,3329,3389,33997,356,
10078:17,302,654,76,616,58,8,866,84,29,
10082:4889,17,302,654,76,616,58,8,866,84,
10084:301,3068,52056,91352,17,302,654,76,616,58,
10086:10259,11089,45592,10648,110085,110923,113336,1996,29,40319,
10088:22059,81719,28632,25368,40142,8419,698,5595,57728,50278,
10090:890,40,29972,42640,33270,20288,19340,42756,5398,2139,
10110:67471,95965,236,52803,17,302,654,76,616,58,
10111:17,302,654,76,616,58,8,866,84,29,
10115:8,9581,17975,25553,182,109,1594,2162,2097,88,
10117:17,302,654,76,616,58,8,866,84,29,
10130:121238,20340,31227,17,302,654,76,616,58,8,
10132:327,87795,76448,301,100892,10871,60868,5614,967,9319,
10133:9289,3610,138,698,704,224,3137,42735,13966,500,
10136:17,302,654,76,616,58,8,866,84,29,
10140:12484,402,27583,26316,787,5471,31373,27391,16634,2904,
10148:60765,81,17,302,654,76,616,58,8,866,
10155:18836,17,302,654,76,616,58,8,866,84,
10156:17,302,654,76,616,58,8,866,84,29,
10194:302,115087,116680,122171,79973,23973,3039,49502,58600,650,
